UUID,DATUM_AEND,DATUM_ERST,ERSTELL_J,ERSTELL_M,REVISION_J,REVISION_M,GRUND_AEND,HERKUNFT,HERKUNFT_J,HERKUNFT_M,OBJEKTART,REVISION_Q,ICC,SEE_FLAECH,NAME,EINWOHNERZ,LANDESFLAE,LAND_TEIL
{B347A0FB-1DB1-42CE-8F76-D95FD4786266},2018/11/22,2012/10/26,"2012","10","2019","1",Verbessert,AV,"2019","1",Land,2018_Aufbau,CH,129858,Schweiz,"8484130",4129069,"0"
{CB779724-7723-43D5-A5E8-28A160F9E17C},2015/12/08,2012/10/26,"2012","10","2019","1",Verbessert,AV,"2015","12",Land,2018_Aufbau,LI,,Liechtenstein,"38114",16047,"0"
{E3B673E2-0742-4EEF-AA36-1E2AFC76E457},2015/12/08,2012/10/26,"2012","10","2019","1",Verbessert,AV,"2015","12",Land,2018_Aufbau,DE,,Deutschland,"1443",762,"0"
{822DD488-9754-4EE2-8040-8C146793B84F},2015/12/08,2012/10/26,"2012","10","2019","1",Verbessert,AV,"2015","12",Land,2018_Aufbau,IT,172,Italia,"1995",265,"0"
